,Unnamed: 0,Number,Name,Latitude,Longitude,District,Public,Total docks,Deployment Year
0,2,A32019,175 N Harvard St,42.363796,-71.129164,Boston,Yes,17,2014.0
1,4,C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Boston,Yes,17,2020.0
2,8,C32106,555 Metropolitan Ave,42.2681,-71.11924,Boston,Yes,18,2021.0
3,9,C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Boston,Yes,18,2021.0
4,10,C32091,645 Summer St,42.34178089,-71.03987017,Boston,Yes,19,2020.0
5,13,B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Boston,Yes,16,2019.0
6,19,C32098,Adams Branch Library,42.286011,-71.054689,Boston,Yes,0,2021.0
7,20,C32065,Adams St at Lonsdale St,42.29167943,-71.05726346,Boston,Yes,0,2019.0
8,21,A32054,Addison St at Saratoga St,42.38518147,-71.0151367,Boston,Yes,0,2022.0
9,22,A32032,Airport T Stop - Bremen St at Brooks St,42.37410288,-71.03276432,Boston,Yes,11,2016.0
10,23,C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Boston,Yes,15,2019.0
11,26,C32079,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,Boston,Yes,15,2019.0
12,27,C32101,American Legion Hwy at Hyde Park Ave,42.27265394,-71.11990392,Boston,Yes,18,2021.0
13,30,C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.33073333,-71.05699851,Boston,Yes,0,2013.0
14,31,B32004,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,Boston,Yes,23,2011.0
15,32,D32004,Arch St at Franklin St,42.35533502,-71.05822917,Boston,Yes,0,2011.0
16,33,C32048,Archdale Rd at Washington St,42.29266593,-71.12119539,Boston,Yes,0,2018.0
17,35,C32062,Ashmont T Stop,42.2856944,-71.0641389,Boston,Yes,15,2019.0
18,38,A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston,Yes,11,2011.0
19,39,C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Boston,Yes,19,2011.0
20,41,B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston,Yes,15,2018.0
21,43,D32024,Beacon St at Charles St,42.356052,-71.069849,Boston,Yes,0,2013.0
22,44,B32016,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,Boston,Yes,0,2011.0
23,46,C32059,Belgrade Ave at Walworth St,42.28634589,-71.1367213,Boston,Yes,15,2018.0
24,47,C32095,Bellevue T Stop,42.28611421,-71.14636928,Boston,Yes,0,2021.0
25,49,A32028,Bennington St at Byron St,42.38353252,-71.01619095,Boston,Yes,15,2016.0
26,50,A32039,Bennington St at Constitution Beach,42.38522394,-71.01063069,Boston,Yes,17,2018.0
27,53,D32050,Blossom St at Charles St,42.36435589,-71.06959369,Boston,Yes,15,2019.0
28,54,C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Boston,Yes,19,2018.0
29,55,C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,Boston,Yes,18,2020.0
30,56,B32057,Blue Hill Ave at Southwood St,42.31786021,-71.07798629,Boston,Yes,0,2018.0
31,57,B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,Yes,25,2011.0
32,59,D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Boston,Yes,23,2012.0
33,60,A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Boston,Yes,15,2016.0
34,61,A32045,Boston Landing,42.35656092,-71.14167538,Boston,Yes,7,2019.0
35,62,C32002,Boston Medical Center - E Concord St at Harrison Ave,42.33639915,-71.07306711,Boston,Yes,19,2019.0
36,63,B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Boston,Yes,15,2016.0
37,64,D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Boston,Yes,15,2011.0
38,65,D32056,Boylston St at Charles St,42.35257609,-71.06764405,Boston,Yes,31,
39,66,D32055,Boylston St at Dartmouth St,42.3501932,-71.07744187,Boston,Yes,0,2013.0
40,67,D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,Yes,19,2018.0
41,68,C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Boston,Yes,19,2011.0
42,69,B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,Yes,15,2018.0
43,70,B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Boston,Yes,15,2011.0
44,71,B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,Yes,15,2011.0
45,72,D32058,Brighton Ave at Linden St,42.3528376,-71.1296752,Boston,Yes,0,2022.0
46,73,D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,Yes,17,2015.0
47,74,A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,Yes,15,2011.0
48,76,A32047,Broad St at Central St,42.35849449,-71.0542647,Boston,Yes,0,2020.0
49,87,A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,Yes,23,2015.0
50,88,B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,Yes,0,2013.0
51,94,D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Boston,Yes,15,2011.0
52,96,A32046,Canal St at Causeway St,42.36530095,-71.06092191,Boston,Yes,0,2020.0
53,98,C32088,Central Ave at River St,42.27094707,-71.07337901,Boston,Yes,0,2019.0
54,101,A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,15,2019.0
55,102,C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,19,2019.0
