,eightd_has_key_dispenser,lon,rental_methods,eightd_station_services,station_id,short_name,name,capacity,legacy_id_x,has_kiosk,electric_bike_surcharge_waiver,station_type,external_id,lat,region_id,num_docks_disabled,num_docks_available,num_ebikes_available,legacy_id_y,eightd_has_available_keys,last_reported,is_renting,is_returning,station_status,num_bikes_available,num_bikes_disabled,is_installed,eightd_active_station_services,valet
0,True,-71.10061883926392,"['CREDITCARD', 'KEY']",[],3,B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,14,3,True,False,classic,f83464e4-0de8-11e7-991c-3863bb43a7d0,42.34011512249236,10,0,1,0,3,False,1681955301,1,1,active,12,1,1,,
1,False,-71.069616,"['CREDITCARD', 'KEY']",[],4,C32000,Tremont St at E Berkeley St,19,4,True,False,classic,f834658f-0de8-11e7-991c-3863bb43a7d0,42.345392,10,0,11,0,4,False,1681954747,1,1,active,7,1,1,,
2,False,-71.090179,"['CREDITCARD', 'KEY']",[],5,B32012,Northeastern University - North Parking Lot,15,5,True,False,classic,f834662c-0de8-11e7-991c-3863bb43a7d0,42.341814,10,0,10,0,5,False,1681955579,1,1,active,5,0,1,,
3,False,-71.06528744101524,"['CREDITCARD', 'KEY']",[],6,D32000,Cambridge St at Joy St,15,6,True,False,classic,f83466c6-0de8-11e7-991c-3863bb43a7d0,42.36125721646537,10,0,3,0,6,False,1681953672,1,1,active,10,2,1,,
4,False,-71.04457139968872,"['CREDITCARD', 'KEY']",[],7,A32000,Fan Pier,15,7,True,False,classic,f8346768-0de8-11e7-991c-3863bb43a7d0,42.3533905070523,10,0,14,0,7,False,1681945485,1,1,active,0,1,1,,
5,False,-71.137313,"['CREDITCARD', 'KEY']",[],8,A32001,Union Square - Brighton Ave at Cambridge St,19,8,True,False,classic,f8346803-0de8-11e7-991c-3863bb43a7d0,42.353334,10,0,9,0,8,False,1681955490,1,1,active,10,0,1,,
6,False,-71.11903488636017,"['CREDITCARD', 'KEY']",[],9,A32002,Commonwealth Ave at Agganis Way,15,9,True,False,classic,f8346894-0de8-11e7-991c-3863bb43a7d0,42.35169201885973,10,0,12,0,9,False,1681955450,1,1,active,2,1,1,,
7,False,-71.108279,"['CREDITCARD', 'KEY']",[],10,A32003,B.U. Central - 725 Comm. Ave.,11,10,True,False,classic,f8346a3c-0de8-11e7-991c-3863bb43a7d0,42.350406,10,0,8,0,10,False,1681955142,1,1,active,3,0,1,,
8,False,-71.1065,"['CREDITCARD', 'KEY']","[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'docks_availability': 'UNLIMITED', 'bikes_availability': 'UNLIMITED', 'off_dock_bikes_count': 9, 'schedule_description': '', 'service_type': 'ATTENDED_SERVICE', 'link_for_more_info': '', 'name': 'Valet Service', 'description': '', 'off_dock_remaining_bike_capacity': 41}]",11,A32004,Longwood Ave at Binney St,15,11,True,False,classic,f8346ad7-0de8-11e7-991c-3863bb43a7d0,42.338629,10,0,12,0,11,False,1681955432,1,1,active,3,0,1,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 9, 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'region': 'BOS', 'valet_revision': 47125}"
9,True,-71.08798563480377,"['CREDITCARD', 'KEY']",[],12,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,21,12,True,False,classic,f8346b6f-0de8-11e7-991c-3863bb43a7d0,42.33624444796878,10,1,5,0,12,False,1681955376,1,1,active,13,2,1,,
