start station name,end station name,start station latitude,start station longitude,end station latitude,end station longitude,distance,time
1200 Beacon St,700 Commonwealth Ave.,42.34414898749529,-71.11467361450195,42.34960945333059,-71.10391523698127,2066,438
1200 Beacon St,75 Binney St,42.34414898749529,-71.11467361450195,42.36550728505653,-71.0801375997653,7045,1503
1200 Beacon St,B.U. Central - 725 Comm. Ave.,42.34414898749529,-71.11467361450195,42.350406,-71.108279,2022,596
1200 Beacon St,Back Bay T Stop - Dartmouth St at Stuart St,42.34414898749529,-71.11467361450195,42.34807412317439,-71.07657015323639,4031,967
1200 Beacon St,Boylston St at Fairfield St,42.34414898749529,-71.11467361450195,42.348803822833936,-71.08236908912659,3387,763
1200 Beacon St,Boylston St at Jersey St,42.34414898749529,-71.11467361450195,42.34465062887831,-71.09732501226972,2472,631
1200 Beacon St,Boylston St at Massachusetts Ave,42.34414898749529,-71.11467361450195,42.34740620525209,-71.08678414955648,3000,708
1200 Beacon St,Brookline Village - Station Street at MBTA,42.34414898749529,-71.11467361450195,42.33274392304887,-71.11626680949485,2320,533
1200 Beacon St,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34414898749529,-71.11467361450195,42.34011512249236,-71.10061883926392,2300,580
1200 Beacon St,Columbus Ave at W. Canton St,42.34414898749529,-71.11467361450195,42.34474224772802,-71.07648162175792,4481,1023
1200 Beacon St,Commonwealth Ave at Agganis Way,42.34414898749529,-71.11467361450195,42.35169201885973,-71.11903488636017,1372,349
1200 Beacon St,Commonwealth Ave at Chiswick Rd,42.34414898749529,-71.11467361450195,42.34024644768889,-71.15168806174552,3792,1034
1200 Beacon St,Coolidge Corner - Beacon St at Centre St,42.34414898749529,-71.11467361450195,42.341598,-71.123338,765,234
1200 Beacon St,Cross St at Hanover St,42.34414898749529,-71.11467361450195,42.362811,-71.056067,7012,1736
1200 Beacon St,Deerfield St at Commonwealth Ave,42.34414898749529,-71.11467361450195,42.34924376955301,-71.09728209692548,2476,634
1200 Beacon St,Harvard St and Stedman St,42.34414898749529,-71.11467361450195,42.3443517550051,-71.12490355968475,965,261
1200 Beacon St,JFK Crossing at Harvard St. / Thorndike St.,42.34414898749529,-71.11467361450195,42.346551241753566,-71.1283321143128,1343,329
1200 Beacon St,Kenmore Square,42.34414898749529,-71.11467361450195,42.348706,-71.097009,2027,485
1200 Beacon St,Landmark Center - Brookline Ave at Park Dr,42.34414898749529,-71.11467361450195,42.34369055719748,-71.10235286881107,2185,503
1200 Beacon St,Lansdowne T Stop,42.34414898749529,-71.11467361450195,42.34734473177431,-71.1001680795016,1886,422
1200 Beacon St,Old Morse Park at Putnam Ave,42.34414898749529,-71.11467361450195,42.35766247889882,-71.1084133386612,2788,709
1200 Beacon St,One Beacon St,42.34414898749529,-71.11467361450195,42.358477644348106,-71.06135129928589,5781,1328
1200 Beacon St,Park Dr at Buswell St,42.34414898749529,-71.11467361450195,42.347241,-71.105301,1396,347
1200 Beacon St,Prudential Center - 101 Huntington Ave,42.34414898749529,-71.11467361450195,42.34652003998412,-71.08065776545118,3861,851
1200 Beacon St,Silber Way,42.34414898749529,-71.11467361450195,42.34949599514002,-71.10057592391968,2892,657
1200 Beacon St,South End Library - Tremont St at W Newton St,42.34414898749529,-71.11467361450195,42.341332,-71.076847,4459,1033
1200 Beacon St,St Mary's,42.34414898749529,-71.11467361450195,42.346197076555455,-71.10728681087494,1467,350
1200 Beacon St,Tremont St at W. Dedham St,42.34414898749529,-71.11467361450195,42.34254913737952,-71.07421449387857,4714,1076
160 Arsenal,699 Mt Auburn St,42.36466403441681,-71.17569386959076,42.37500235137831,-71.14871613699506,2915,578
175 N Harvard St,515 Somerville Ave (Temp. Winter Location),42.363796,-71.129164,42.38322726839113,-71.10606908798218,3088,775
175 N Harvard St,700 Commonwealth Ave.,42.363796,-71.129164,42.34960945333059,-71.10391523698127,3789,805
175 N Harvard St,955 Mass Ave,42.363796,-71.129164,42.36895180540729,-71.10998779535294,2161,510
175 N Harvard St,Blossom St at Charles St,42.363796,-71.129164,42.36435589027983,-71.0695936904267,7749,1600
175 N Harvard St,Boylston St at Exeter St,42.363796,-71.129164,42.349589423682445,-71.0794677917329,5965,1207
175 N Harvard St,Brighton Mills - 370 Western Ave,42.363796,-71.129164,42.3615457081725,-71.13776206970215,874,209
175 N Harvard St,Cambridge Main Library at Broadway / Trowbridge St,42.363796,-71.129164,42.373379,-71.111075,2308,558
175 N Harvard St,Charles Circle - Charles St at Cambridge St,42.363796,-71.129164,42.36079296858265,-71.07118962337152,7179,1467
175 N Harvard St,Commonwealth Ave At Babcock St,42.363796,-71.129164,42.35154734791375,-71.12126246094704,2355,552
175 N Harvard St,Coolidge Corner - Beacon St at Centre St,42.363796,-71.129164,42.341598,-71.123338,3156,699
175 N Harvard St,Harvard Kennedy School at Bennett St / Eliot St,42.363796,-71.129164,42.3722168027866,-71.12188071012497,1275,369
175 N Harvard St,Harvard Square at Brattle St / Eliot St,42.363796,-71.129164,42.373328798874056,-71.12098601080106,1473,429
175 N Harvard St,Harvard Square at Mass Ave/ Dunster,42.363796,-71.129164,42.373268,-71.118579,1429,456
175 N Harvard St,Harvard St and Stedman St,42.363796,-71.129164,42.3443517550051,-71.12490355968475,2603,590
175 N Harvard St,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.363796,-71.129164,42.368019,-71.1242,949,194
175 N Harvard St,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.363796,-71.129164,42.377945,-71.116865,2359,615
175 N Harvard St,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.363796,-71.129164,42.366621,-71.114214,1757,439
175 N Harvard St,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.363796,-71.129164,42.369239074859216,-71.11687034368515,1355,362
175 N Harvard St,Innovation Lab - 125 Western Ave at Batten Way,42.363796,-71.129164,42.36371276003581,-71.12459778785706,413,107
175 N Harvard St,JFK Crossing at Harvard St. / Thorndike St.,42.363796,-71.129164,42.346551241753566,-71.1283321143128,2222,524
175 N Harvard St,Landmark Center - Brookline Ave at Park Dr,42.363796,-71.129164,42.34369055719748,-71.10235286881107,5064,1039
175 N Harvard St,Lansdowne T Stop,42.363796,-71.129164,42.34734473177431,-71.1001680795016,4739,983
175 N Harvard St,Prudential Center - 101 Huntington Ave,42.363796,-71.129164,42.34652003998412,-71.08065776545118,6199,1283
175 N Harvard St,Silber Way,42.363796,-71.129164,42.34949599514002,-71.10057592391968,4615,1024
175 N Harvard St,Soldiers Field Park - 111 Western Ave,42.363796,-71.129164,42.36426344063853,-71.1182756971175,1174,267
175 N Harvard St,South End Library - Tremont St at W Newton St,42.363796,-71.129164,42.341332,-71.076847,6797,1465
175 N Harvard St,Union Square - Brighton Ave at Cambridge St,42.363796,-71.129164,42.353334,-71.137313,1608,419
175 N Harvard St,Union Square - Somerville,42.363796,-71.129164,42.37964789967527,-71.09540475672475,3582,853
175 N Harvard St,Verizon Innovation Hub 10 Ware Street,42.363796,-71.129164,42.37250864997261,-71.11305356025696,2341,570
175 N Harvard St,Washington St at Rutland St,42.363796,-71.129164,42.338514601786,-71.07404083013535,7110,1564
191 Beacon St,Ball Sq,42.38032335045416,-71.10878612855231,42.39936816059618,-71.11111521723615,2839,784
191 Beacon St,Cambridge Crossing at North First Street,42.38032335045416,-71.10878612855231,42.371141,-71.076198,3136,706
